year;season;city;country;opened;closed
1912;summer;Stockholm;Sweden;1912-07-06;1912-07-27
1920;summer;Antwerpen;Belgium;1920-08-14;1920-08-30
1996;summer;Atlanta;United States;1996-07-19;1996-08-04
1924;summer;Paris;France;1924-07-05;1924-07-27
1992;summer;Barcelona;Spain;1992-07-25;1992-08-09
2000;summer;Sydney;Australia;2000-09-15;2000-10-01
2004;summer;Athina;Greece;2004-08-13;2004-08-29
2008;summer;Beijing;People's Republic of China;2008-08-08;2008-08-24
1900;summer;Paris;France;;
1908;summer;London;Great Britain;1908-07-13;
1896;summer;Athina;Greece;1896-04-06;1896-04-15
1988;summer;Seoul;Republic of Korea;1988-09-17;1988-10-02
1904;summer;St. Louis;United States;1904-05-14;
2012;summer;London;Great Britain;2012-07-27;2012-08-12
2016;summer;Rio de Janeiro;Brazil;2016-08-05;2016-08-21
1976;summer;Montréal;Canada;1976-07-17;1976-08-01
1972;summer;München;West Germany;1972-08-26;1972-09-11
1980;summer;Moskva;Soviet Union;1980-07-19;1980-08-03
1984;summer;Los Angeles;United States;1984-07-28;1984-08-12
1928;summer;Amsterdam;Netherlands;1928-07-28;1928-08-12
2020;summer;Tokyo;Japan;2021-07-23;2021-08-08
1968;summer;Ciudad de México;Mexico;1968-10-12;1968-10-27
1956;summer;Melbourne;Australia;1956-11-22;1956-12-08
1952;summer;Helsinki;Finland;1952-07-19;1952-08-03
1960;summer;Roma;Italy;1960-08-25;1960-09-11
1964;summer;Tokyo;Japan;1964-10-10;1964-10-24
1948;summer;London;Great Britain;1948-07-29;1948-08-14
1932;summer;Los Angeles;United States;1932-07-30;1932-08-14
1936;summer;Berlin;Germany;1936-08-01;1936-08-16
1932;winter;Lake Placid;United States;1932-02-04;1932-02-13
1956;equestrian;Stockholm;Sweden;1956-06-10;1956-06-17
1924;winter;Chamonix;France;1924-01-24;1924-02-05
1928;winter;Sankt Moritz;Switzerland;1928-02-11;1928-02-17
2002;winter;Salt Lake City;United States;2002-02-08;2002-02-24
2006;winter;Torino;Italy;2006-02-10;2006-02-26
1964;winter;Innsbruck;Austria;1964-01-29;1964-02-09
1936;winter;Garmisch-Partenkirchen;Germany;1936-02-06;1936-02-16
1992;winter;Albertville;France;1992-02-08;1992-02-23
1994;winter;Lillehammer;Norway;1994-02-12;1994-02-27
1998;winter;Nagano;Japan;1998-02-07;1998-02-22
1948;winter;Sankt Moritz;Switzerland;1948-01-30;1948-02-08
1952;winter;Oslo;Norway;1952-02-15;1952-02-25
1956;winter;Cortina d'Ampezzo;Italy;1956-01-26;1956-02-05
1988;winter;Calgary;Canada;1988-02-13;1988-02-28
1976;winter;Innsbruck;Austria;1976-02-04;1976-02-15
1972;winter;Sapporo;Japan;1972-02-03;1972-02-13
1984;winter;Sarajevo;Yugoslavia;1984-02-08;1984-02-19
1980;winter;Lake Placid;United States;1980-02-13;1980-02-24
1968;winter;Grenoble;France;1968-02-06;1968-02-18
1960;winter;Squaw Valley;United States;1960-02-18;1960-02-28
2014;winter;Sochi;Russian Federation;2014-02-07;2014-02-23
2018;winter;PyeongChang;Republic of Korea;2018-02-09;2018-02-25
1916;summer;Berlin;Germany;;
1940;winter;Garmisch-Partenkirchen;Germany;;
1940;summer;Helsinki;Finland;;
1944;winter;Cortina d'Ampezzo;Italy;;
1944;summer;London;Great Britain;;
2022;winter;Beijing;People's Republic of China;;
2024;summer;Paris;France;;
2026;winter;Milano-Cortina d'Ampezzo;Italy;;
2028;summer;Los Angeles;United States;;
2032;summer;Brisbane;Australia;;
